Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
Livre JONCHERAY;RAMON MEUMBRU;43N10,422;6E32,565;WGS 84;22;Cavalaire
Livre JONCHERAY;LE FORTIER;43N10,474;5E39,153;WGS 84;34;La Ciotat
Livre JONCHERAY;LA Vedette VTB 7;43N10,555;6E39,878;WGS 84;52 / 2;Cavalaire
Vérifié;LA POURSUIVANTE;43N10,980;6E40,769;WGS 84;58;Cavalaire
Livre JONCHERAY;GHRIB;43N11,079;5E27,559;WGS 84;90;Morgiou
Livre JONCHERAY;GUARANI;43N11,149;5E25,061;ED 50;85;Cassis
Vérifié;RUBIS;43N11,301;6E42,038;WGS 84;40 / 3;Cavalaire
Vérifié;CHAOUEN;43N11,921;5E13,734;WGS 84;30 / 3;Marseille
Vérifié;DALTON;43N12,000;5E13,844;WGS 84;;Marseille
Vérifié;MESSERSCHMITT 109;43N12,008;5E13,784;WGS 84;45 / 3;Marseille
Internet Perso;LE TELL;43N12,010;6E41,370;;;
Livre JONCHERAY;LATECOERE 298;43N12,078;5E13,764;WGS 84;60 / 3;Marseille
Vérifié;LIBAN;43N12,378;5E20,183;WGS 84;30 / 3;Marseille
Livre JONCHERAY;REINE DES FLOTS;43N12,693;5E18,189;WGS 84;66 / 1;Marseille
Vérifié;KER BIHAN;43N13,822;5E19,003;WGS 84;56 / 3;Marseille
Vérifié;DROME;43N13,829;5E19,189;WGS 84;53 / 3;Marseille
Vérifié;MIQUELON;43N14,218;5E18,830;WGS 84;53 / 3;Marseille
Livre JONCHERAY;Vedette plastique;43N14,968;5E19,773;WGS 84;37 / 1;Marseille
Vérifié;NOVI;43N16,176;5E19,676;WGS 84;35 / 2;Marseille
Livre JONCHERAY;LE TLALOC;43N16,291;6E44,331;ED 50;38 /;Cavalaire
Vérifié;JUNKER 88;43N16,480;5E17,200;WGS 84;50 / 2;Marseille
Livre JONCHERAY;JUNKER 88;43N16,486;5E17,201;WGS 84;53 /;Marseille
Livre JONCHERAY;LE DANAE;43N16,615;6E38,959;WGS 84;27 /;St Tropez
Livre JONCHERAY;LE RELAX;43N16,728;6E39,029;WGS 84;34 / ;St Tropez
Livre JONCHERAY;L'IDEAL;43N16,803;6E38,884;WGS 84;34 / ;St Tropez
Livre JONCHERAY;ANAIS-C;43N17,509;5E13,985;ED 50;80 / ;Marseille
Livre JONCHERAY;GUADAIRA;43N17,823;5E11,740;ED 50;73 / ;Marseille
Vérifié;SAN DOMINICO;43N18,612;5E20,809;WGS 84;33 / 3;Marseille
Livre JONCHERAY;La Pigoullière;43N19,024;5E20,106;ED 50;54 / 2;Marseille
Livre JONCHERAY;ULYSSE III;43N19,050;5E02,060;ED 50;33 / 2;Marseille
OCEANS;ULYSSE III;43N19,050;5E02,060;ED 50;;
Vérifié;PETIT SAN DO;43N19,355;5E19,286;WGS 84;61 / 3;Marseille
Livre JONCHERAY;Z DRIVE;43N19,920;6E41,444;WGS 84;66;St Tropez
Livre JONCHERAY;SAMSON;43N20,487;4E56,321;ED 50;40 / 2;Marseille
OCEANS;B 24;43N25,192;6E52,070;WGS 84;;
OCEANS;Avion BEECHCRAFT BARON;43N29,150;6E57,721;WGS 84;67 / ;Théoule s/ Mer
OCEANS;OFFSHORE;43N30,423;7E01,764;WGS 84;41 / ;
FORUM EPAVES;L'AIGLON;43N31,529;1W36,738;;;Biarritz
OCEANS;CRUZ SEGONDO;43N31,542;1W36,952;ED 50;;
FORUM EPAVES;CRUZ SEGONDO;43N31,548;1W36,948;;;Biarritz
OCEANS;Avion T 6;43N31,816;7E01,430;WGS 84;41 / ;
OCEANS;SILVER WINGS;43N34,933;7E08,888;WGS 84;66 / ;Antibes
FORUM EPAVES;L'ANJOU;43N35,297;1W31,998;;;Biarritz
OCTOPUS;TARANTINI;45N30,102;1W22,839;ED 50;;
FORUM EPAVES;TARANTINI;45N30,129;1W22,808;WGS 84;;
1001 bulles;Galiote;45N50,640;1W26,429;WGS 84;;Oléron-Ré
Rochefort;JEAN SEBASTIEN;45N52,348;1W22,972;WGS 84;;Oléron
1001 bulles;JEAN SEBASTIEN;45N52,407;1W22,875;WGS 84;23;Oléron-Ré
1001 bulles;3 MATS;45N52,485;1W30,045;WGS 84;29;Oléron-Ré
Rochefort;CHEF MALIERE;45N53,262;1W28,971;WGS 84;;Oléron
1001 bulles;CHEFMALIERE;45N53,316;1W28,868;WGS 84;;Oléron-Ré
Rochefort;3 MATS;45N53,540;1W29,960;WGS 84;;Oléron
Rochefort;3 MATS;45N53,540;1W30,059;WGS 84;;Oléron
1001 bulles;Péniche;45N54,573;1W24,327;WGS 84;;Oléron-Ré
Rochefort;BIROIRE;45N54,758;1W23,346;WGS 84;;Oléron
SCY;HELGOY;45N54,808;1W38,986;ED 50;;
LIVRE HÉNAFF;HELGOY;45N54,808;1W38,986;ED 50;43;Oléron-Ré
1001 bulles;VAPEUR DU RECOIN;45N56,260;1W29,585;WGS 84;26;Oléron-Ré
